Name,Total_CPU,Total_IO,Total_Network,Input_Size,Output_Size
init_decoder,0.4,0.2,0.1,8,8
init_encoder,1.2000000000000002,0.6000000000000001,0.30000000000000004,24,8
uncompressStream,2.8500000000000005,1.4500000000000002,0.7500000000000001,8,8
compressStream,4.700000000000001,2.4000000000000004,1.25,12,8
parse_args,1.7000000000000002,0.9000000000000001,0.5,12,8
pxz_error,2.1,1.1,0.6,24,8
decode_buffer,0.25,0.15,0.1,20,8
delta_decode,0.25,0.15,0.1,60,8
lzma_delta_decoder_init,0.25,0.15,0.1,24,8
lzma_delta_props_decode,0.65,0.35,0.2,28,8
delta_coder_end,0.0,0.0,0.0,16,8
lzma_delta_coder_init,0.6000000000000001,0.30000000000000004,0.15000000000000002,24,8
lzma_delta_coder_memusage,0.8,0.4,0.2,8,8
copy_and_encode,0.25,0.15,0.1,28,8
encode_in_place,0.5,0.3,0.2,20,8
delta_encode,1.1,0.6000000000000001,0.35000000000000003,60,8
lzma_delta_encoder_init,1.1,0.6000000000000001,0.35000000000000003,24,8
lzma_delta_props_encode,1.3,0.7000000000000001,0.4,16,8
init_price_table,1.2,0.75,0.45000000000000007,8,0
print_price_table,1.85,1.1,0.6500000000000001,8,0
main,1.85,1.1,0.6500000000000001,8,4
lzma_simple_props_decode,1.0,0.5,0.25,28,8
powerpc_coder_init,0.0,0.0,0.0,25,8
lzma_simple_powerpc_encoder_init,0.0,0.0,0.0,24,8
lzma_simple_powerpc_decoder_init,0.0,0.0,0.0,24,8
sparc_coder_init,0.0,0.0,0.0,25,8
lzma_simple_sparc_encoder_init,0.0,0.0,0.0,24,8
lzma_simple_sparc_decoder_init,0.0,0.0,0.0,24,8
lzma_simple_props_size,0.2,0.1,0.05,16,8
lzma_simple_props_encode,0.4,0.2,0.1,16,8
ia64_coder_init,0.0,0.0,0.0,25,8
lzma_simple_ia64_encoder_init,0.0,0.0,0.0,24,8
lzma_simple_ia64_decoder_init,0.0,0.0,0.0,24,8
copy_or_code,1.0,0.5,0.25,60,8
call_filter,1.0,0.5,0.25,20,8
simple_code,3.6,1.8,0.9,60,8
simple_coder_end,3.6,1.8,0.9,16,8
lzma_simple_coder_init,5.2,2.6,1.3,45,8
arm_coder_init,0.0,0.0,0.0,25,8
lzma_simple_arm_encoder_init,0.0,0.0,0.0,24,8
lzma_simple_arm_decoder_init,0.0,0.0,0.0,24,8
x86_code,3.45,1.85,1.0,25,8
x86_coder_init,3.6500000000000004,1.9500000000000002,1.05,25,8
lzma_simple_x86_encoder_init,3.6500000000000004,1.9500000000000002,1.05,24,8
lzma_simple_x86_decoder_init,3.6500000000000004,1.9500000000000002,1.05,24,8
armthumb_coder_init,0.0,0.0,0.0,25,8
lzma_simple_armthumb_encoder_init,0.0,0.0,0.0,24,8
lzma_simple_armthumb_decoder_init,0.0,0.0,0.0,24,8
decoder_find,0.45,0.25,0.15000000000000002,4,8
lzma_raw_decoder_init,0.45,0.25,0.15000000000000002,24,8
lzma_free,0.4,0.2,0.1,16,8
lzma_bufcpy,0.4,0.2,0.1,40,8
lzma_next_filter_init,0.6000000000000001,0.30000000000000004,0.15000000000000002,24,8
lzma_next_filter_update,1.0,0.5,0.25,24,8
lzma_next_end,1.6,0.8,0.4,16,8
lzma_strm_init,2.2,1.1,0.55,8,8
stream_flags_decode,0.2,0.1,0.05,16,8
block_encode,1.6500000000000001,0.8500000000000001,0.45000000000000007,60,8
block_encoder_end,1.6500000000000001,0.8500000000000001,0.45000000000000007,16,8
lzma_block_encoder_init,2.8500000000000005,1.4500000000000002,0.7500000000000001,24,8
alone_decoder_end,0.0,0.0,0.0,16,8
alone_decoder_memconfig,0.4,0.2,0.1,32,8
lzma_alone_decoder_init,1.0,0.5,0.25,25,8
free_properties,0.25,0.15,0.1,16,8
stream_decoder_reset,0.2,0.1,0.05,16,8
stream_decode,7.050000000000001,3.6500000000000004,1.9000000000000001,60,8
stream_decoder_end,7.050000000000001,3.6500000000000004,1.9000000000000001,16,8
stream_decoder_get_check,7.050000000000001,3.6500000000000004,1.9000000000000001,8,8
stream_decoder_memconfig,7.450000000000001,3.8500000000000005,2.0,32,8
lzma_stream_decoder_init,8.250000000000002,4.250000000000001,2.2,28,8
index_encoder_end,0.0,0.0,0.0,16,8
index_encoder_reset,0.0,0.0,0.0,16,8
lzma_index_encoder_init,0.6000000000000001,0.30000000000000004,0.15000000000000002,24,8
index_tree_init,0.0,0.0,0.0,8,8
index_tree_node_end,0.6500000000000001,0.35000000000000003,0.17,24,8
index_tree_end,0.8500000000000001,0.45000000000000007,0.22000000000000003,24,8
index_tree_append,2.1,1.1,0.5700000000000001,16,8
index_tree_next,2.8,1.5,0.8200000000000001,8,8
index_tree_locate,3.4499999999999997,1.85,1.02,12,8
index_stream_init,3.65,1.9500000000000002,1.07,24,8
index_stream_end,3.65,1.9500000000000002,1.07,16,8
index_init_plain,3.85,2.0500000000000003,1.12,8,8
lzma_index_prealloc,4.05,2.1500000000000004,1.1700000000000002,12,8
index_file_size,4.45,2.3500000000000005,1.2700000000000002,20,4
lzma_index_padding_size,4.45,2.3500000000000005,1.2700000000000002,8,8
index_cat_helper,4.9,2.6000000000000005,1.3900000000000003,16,8
index_dup_stream,5.75,3.0500000000000007,1.6400000000000003,16,8
iter_set_info,7.75,4.050000000000001,2.1400000000000006,8,8
lzma2_bound,0.4,0.2,0.1,4,4
block_encode_uncompressed,1.25,0.6500000000000001,0.35,40,8
block_encode_normal,2.85,1.4500000000000002,0.75,48,8
block_encoder_init,0.0,0.0,0.0,16,8
stream_encode,2.45,1.25,0.65,60,8
stream_encoder_end,2.7,1.4,0.75,16,8
stream_encoder_update,3.75,1.95,1.05,32,8
lzma_stream_encoder_init,4.55,2.35,1.25,28,8
validate_chain,1.4500000000000002,0.8,0.45,16,8
lzma_raw_coder_init,2.95,1.6,0.9,29,8
lzma_raw_coder_memusage,4.2,2.25,1.25,12,8
index_decoder_end,0.0,0.0,0.0,16,8
index_decoder_memconfig,0.4,0.2,0.1,32,8
index_decoder_reset,0.6000000000000001,0.30000000000000004,0.15000000000000002,32,8
index_decoder_init,1.4000000000000001,0.7000000000000001,0.35000000000000003,32,8
hash_append,0.0,0.0,0.0,16,8
lzma_easy_preset,0.2,0.1,0.05,12,8
auto_decode,1.8,0.9,0.45,60,8
auto_decoder_end,1.8,0.9,0.45,16,8
auto_decoder_get_check,2.0,1.0,0.5,8,8
auto_decoder_memconfig,2.6,1.3,0.65,32,8
auto_decoder_init,3.4000000000000004,1.7000000000000002,0.8500000000000001,28,8
update_size,0.4,0.2,0.1,16,8
is_size_valid,0.4,0.2,0.1,8,1
block_decode,2.4499999999999997,1.25,0.65,60,8
block_decoder_end,2.4499999999999997,1.25,0.65,16,8
lzma_block_decoder_init,3.25,1.65,0.8500000000000001,24,8
alone_encoder_end,0.0,0.0,0.0,16,8
alone_encoder_init,1.0,0.5,0.25,24,8
encoder_find,0.45,0.25,0.15000000000000002,4,8
lzma_raw_encoder_init,0.45,0.25,0.15000000000000002,24,8
stream_flags_encode,0.2,0.1,0.05,16,8
lz_decoder_reset,0.0,0.0,0.0,8,8
decode_buffer,1.25,0.65,0.35,48,8
lz_decoder_end,1.65,0.8500000000000001,0.44999999999999996,16,8
lzma_lz_decoder_init,3.05,1.5500000000000003,0.8,32,8
lzma_lz_decoder_memusage,3.05,1.5500000000000003,0.8,4,8
lzma_lz_decoder_uncompressed,3.05,1.5500000000000003,0.8,12,8
move_window,0.0,0.0,0.0,8,8
fill_window,1.4000000000000001,0.7000000000000001,0.35000000000000003,40,8
lz_encode,2.0500000000000003,1.05,0.55,60,8
lz_encoder_prepare,5.450000000000001,2.75,1.4000000000000001,24,8
lz_encoder_init,6.650000000000001,3.35,1.7000000000000002,24,8
lzma_lz_encoder_memusage,6.850000000000001,3.45,1.7500000000000002,8,8
lz_encoder_end,7.250000000000002,3.6500000000000004,1.8500000000000003,16,8
lzma_lz_encoder_init,8.050000000000002,4.050000000000001,2.0500000000000003,32,8
lzma_mf_find,1.1,0.6000000000000001,0.35000000000000003,24,8
normalize,1.75,0.9500000000000001,0.55,8,8
move_pos,2.15,1.1500000000000001,0.65,8,8
move_pending,2.15,1.1500000000000001,0.65,8,8
hc_find_func,4.0,2.1500000000000004,1.2000000000000002,52,8
lzma_mf_hc3_find,4.85,2.6000000000000005,1.4500000000000002,16,8
lzma_mf_hc3_skip,5.3,2.8500000000000005,1.6,12,8
lzma_mf_hc4_find,6.75,3.6000000000000005,2.0,16,8
lzma_mf_hc4_skip,7.2,3.8500000000000005,2.15,12,8
bt_find_func,9.45,5.050000000000001,2.8,52,8
bt_skip_func,11.5,6.15,3.4,40,8
lzma_mf_bt2_find,11.5,6.15,3.4,16,8
lzma_mf_bt2_skip,11.75,6.300000000000001,3.5,12,8
lzma_mf_bt3_find,12.6,6.750000000000001,3.75,16,8
lzma_mf_bt3_skip,12.85,6.900000000000001,3.85,12,8
lzma_mf_bt4_find,14.3,7.650000000000001,4.25,16,8
lzma_mf_bt4_skip,14.55,7.800000000000002,4.35,12,8
crc32_init,1.05,0.6000000000000001,0.35,8,0
lzma_crc32_init,1.05,0.6000000000000001,0.35,8,0
lzma_check_init,0.2,0.1,0.05,12,8
lzma_check_update,0.4,0.2,0.1,24,8
lzma_check_finish,0.6000000000000001,0.30000000000000004,0.15000000000000002,12,8
crc64_init,1.05,0.6000000000000001,0.35,8,0
transform,0.25,0.15,0.1,104,0
process,0.5,0.3,0.2,8,8
lzma_sha256_init,0.5,0.3,0.2,8,8
lzma_sha256_update,1.15,0.6499999999999999,0.4,20,8
lzma_sha256_finish,1.8499999999999999,1.0499999999999998,0.65,8,8
main,1.3,0.75,0.45000000000000007,8,4
lzma_decode,8.610000000000001,4.630000000000001,2.49,36,8
lzma_decoder_uncompressed,8.610000000000001,4.630000000000001,2.49,12,8
lzma_decoder_reset,10.010000000000002,5.48,3.04,16,8
lzma_lzma_decoder_create,10.410000000000002,5.680000000000001,3.14,32,8
lzma_decoder_init,10.610000000000001,5.78,3.19,32,8
lzma_lzma_decoder_init,10.610000000000001,5.78,3.19,24,8
lzma_lzma_lclppb_decode,10.81,5.88,3.2399999999999998,9,8
lzma_lzma_decoder_memusage_nocheck,10.81,5.88,3.2399999999999998,8,8
lzma_lzma_decoder_memusage,11.01,5.9799999999999995,3.2899999999999996,8,8
lzma_lzma_props_decode,11.69,6.319999999999999,3.4599999999999995,28,8
lzma2_decode,3.6500000000000004,1.85,0.9500000000000001,36,8
lzma2_decoder_end,3.6500000000000004,1.85,0.9500000000000001,16,8
lzma2_decoder_init,4.050000000000001,2.0500000000000003,1.05,32,8
lzma_lzma2_decoder_init,4.050000000000001,2.0500000000000003,1.05,24,8
lzma_lzma2_decoder_memusage,4.050000000000001,2.0500000000000003,1.05,8,8
lzma_lzma2_props_decode,5.250000000000001,2.6500000000000004,1.35,28,8
get_literal_price,0.65,0.35,0.2,25,8
get_len_price,0.65,0.35,0.2,16,8
get_short_rep_price,0.65,0.35,0.2,16,8
get_pure_rep_price,1.4500000000000002,0.75,0.4,20,8
get_rep_price,1.4500000000000002,0.75,0.4,24,8
get_pos_len_price,1.85,0.95,0.5,20,8
fill_distances_prices,3.95,2.25,1.3,8,8
fill_align_prices,4.2,2.4,1.4000000000000001,8,8
make_literal,4.2,2.4,1.4000000000000001,8,8
make_short_rep,4.2,2.4,1.4000000000000001,8,8
backward,4.8500000000000005,2.75,1.6,28,8
helper1,10.75,5.95,3.4000000000000004,36,8
helper2,23.3,12.850000000000001,7.300000000000001,44,8
lzma_lzma_optimum_normal,24.75,13.600000000000001,7.700000000000001,36,8
lzma_lzma_optimum_fast,4.95,2.6500000000000004,1.4500000000000002,32,8
literal_matched,0.25,0.15,0.1,24,8
literal,0.65,0.35,0.2,20,8
length_update_prices,1.4,0.7999999999999999,0.5,12,8
length,2.6,1.4,0.8,25,8
match,3.2,1.7,0.9500000000000001,20,8
rep_match,4.6000000000000005,2.4,1.3,20,8
encode_symbol,5.4,2.8,1.5,28,8
encode_init,6.0,3.0999999999999996,1.65,16,8
encode_eopm,6.0,3.0999999999999996,1.65,12,8
lzma_lzma_encode,8.45,4.35,2.3,40,8
lzma_encode,8.649999999999999,4.449999999999999,2.3499999999999996,36,8
is_options_valid,8.649999999999999,4.449999999999999,2.3499999999999996,8,8
set_lz_options,8.649999999999999,4.449999999999999,2.3499999999999996,16,8
length_encoder_reset,9.349999999999998,4.85,2.5999999999999996,13,8
lzma_lzma_encoder_reset,10.949999999999998,5.8,3.1999999999999997,16,8
lzma_lzma_encoder_create,11.799999999999997,6.25,3.4499999999999997,32,8
lzma_encoder_init,11.799999999999997,6.25,3.4499999999999997,32,8
lzma_lzma_encoder_init,11.799999999999997,6.25,3.4499999999999997,24,8
lzma_lzma_encoder_memusage,12.199999999999998,6.45,3.55,8,8
lzma_lzma_lclppb_encode,12.399999999999997,6.55,3.5999999999999996,16,8
lzma_lzma_props_encode,12.599999999999996,6.6499999999999995,3.6499999999999995,16,8
lzma2_header_lzma,1.4000000000000001,0.7000000000000001,0.35000000000000003,8,8
lzma2_header_uncompressed,1.8000000000000003,0.9000000000000001,0.45000000000000007,8,8
lzma2_encode,4.450000000000001,2.25,1.1500000000000001,36,8
lzma2_encoder_end,4.450000000000001,2.25,1.1500000000000001,16,8
lzma2_encoder_options_update,5.050000000000001,2.55,1.3000000000000003,16,8
lzma2_encoder_init,5.8500000000000005,2.9499999999999997,1.5000000000000002,32,8
lzma_lzma2_encoder_init,5.8500000000000005,2.9499999999999997,1.5000000000000002,24,8
lzma_lzma2_encoder_memusage,6.050000000000001,3.05,1.5500000000000003,8,8
lzma_lzma2_props_encode,6.450000000000001,3.25,1.6500000000000004,16,8
parse_memlimit,0.4,0.2,0.1,26,8
parse_real,3.25,1.7499999999999998,0.9500000000000001,20,8
parse_environment,4.95,2.65,1.4500000000000002,24,8
args_parse,7.3500000000000005,3.85,2.0500000000000003,20,8
parse_indexes,8.32,4.36,2.2800000000000002,16,8
parse_block_header,10.94,5.720000000000001,3.0100000000000002,32,8
parse_check_value,12.19,6.370000000000001,3.3600000000000003,16,8
parse_details,12.59,6.570000000000001,3.4600000000000004,32,8
get_ratio,12.99,6.770000000000001,3.5600000000000005,16,8
get_check_names,14.040000000000001,7.320000000000001,3.8600000000000003,9,8
print_info_basic,14.24,7.420000000000001,3.91,16,8
print_adv_helper,14.24,7.420000000000001,3.91,44,0
print_info_adv,16.34,8.520000000000001,4.51,16,8
print_info_robot,17.84,9.320000000000002,4.96,16,8
update_totals,18.04,9.420000000000002,5.01,8,8
print_totals_basic,18.24,9.520000000000001,5.06,8,0
print_totals_adv,18.639999999999997,9.72,5.159999999999999,8,0
print_totals_robot,19.039999999999996,9.92,5.259999999999999,8,0
list_totals,19.839999999999996,10.32,5.459999999999999,8,0
list_file,21.439999999999998,11.120000000000001,5.859999999999999,8,8
xrealloc,0.2,0.1,0.05,12,8
xstrdup,0.2,0.1,0.05,8,8
str_to_uint64,3.4200000000000004,1.7600000000000002,0.93,32,8
round_up_to_mib,3.4200000000000004,1.7600000000000002,0.93,8,8
check_thousand_sep,3.8200000000000003,1.9600000000000002,1.03,4,0
uint64_to_str,4.220000000000001,2.16,1.1300000000000001,12,8
uint64_to_nicestr,6.2700000000000005,3.21,1.6800000000000002,21,8
my_snprintf,6.670000000000001,3.41,1.7800000000000002,32,8
is_empty_filename,6.870000000000001,3.5100000000000002,1.8300000000000003,8,8
is_tty_stdin,7.070000000000001,3.6100000000000003,1.8800000000000003,8,1
is_tty_stdout,7.270000000000001,3.7100000000000004,1.9300000000000004,8,1
hardware_threadlimit_set,0.6000000000000001,0.30000000000000004,0.15000000000000002,4,0
hardware_threadlimit_get,0.6000000000000001,0.30000000000000004,0.15000000000000002,8,4
hardware_memlimit_set,1.2000000000000002,0.6000000000000001,0.30000000000000004,11,0
hardware_memlimit_get,1.6,0.8,0.4,4,8
