Name,Total_CPU,Total_IO,Total_Network,Input_Size,Output_Size
dictSetHashFunctionSeed,0.0,0.0,0.0,8,8
dictGetHashFunctionSeed,0.0,0.0,0.0,8,8
dictGenHashFunction,0.0,0.0,0.0,12,8
dictGenCaseHashFunction,0.0,0.0,0.0,12,8
entryIsKey,0.0,0.0,0.0,8,8
entryIsNormal,0.0,0.0,0.0,8,8
entryIsNoValue,0.0,0.0,0.0,8,8
createEntryNoValue,0.0,0.0,0.0,16,8
encodeMaskedPtr,0.0,0.0,0.0,12,8
decodeMaskedPtr,0.0,0.0,0.0,8,8
decodeEntryNoValue,0.0,0.0,0.0,8,8
entryHasValue,0.0,0.0,0.0,8,8
_dictReset,0.0,0.0,0.0,12,8
dictCreate,0.4,0.2,0.1,8,8
_dictInit,0.4,0.2,0.1,16,8
dictResize,0.8,0.4,0.2,8,8
_dictExpand,2.4000000000000004,1.2000000000000002,0.6000000000000001,20,8
dictExpand,2.4000000000000004,1.2000000000000002,0.6000000000000001,12,8
dictTryExpand,2.6000000000000005,1.3000000000000003,0.6500000000000001,12,8
dictRehash,6.050000000000001,3.1500000000000004,1.6500000000000001,12,8
timeInMilliseconds,6.050000000000001,3.1500000000000004,1.6500000000000001,8,8
dictRehashMilliseconds,6.700000000000001,3.5000000000000004,1.85,12,8
_dictRehashStep,6.900000000000001,3.6000000000000005,1.9000000000000001,8,8
dictMetadata,6.900000000000001,3.6000000000000005,1.9000000000000001,8,8
dictAdd,7.300000000000002,3.8000000000000007,2.0,24,8
dictAddRaw,7.700000000000002,4.000000000000001,2.1,24,8
dictInsertAtPosition,8.900000000000002,4.600000000000001,2.4000000000000004,24,8
dictReplace,9.300000000000002,4.800000000000002,2.5000000000000004,24,8
dictAddOrFind,9.500000000000002,4.900000000000001,2.5500000000000003,16,8
dictGenericDelete,11.550000000000002,6.000000000000002,3.1500000000000004,20,8
dictDelete,11.750000000000002,6.100000000000001,3.2,16,8
dictUnlink,11.750000000000002,6.100000000000001,3.2,16,8
dictFreeUnlinkedEntry,12.150000000000002,6.300000000000002,3.3000000000000003,16,8
_dictClear,13.400000000000002,7.000000000000002,3.7,20,8
dictRelease,13.400000000000002,7.000000000000002,3.7,8,8
dictFind,14.850000000000001,7.800000000000002,4.15,16,8
dictFetchValue,15.05,7.900000000000001,4.2,16,8
dictTwoPhaseUnlinkFind,16.5,8.700000000000001,4.65,32,8
dictTwoPhaseUnlinkFree,16.9,8.9,4.75,28,8
dictSetKey,17.299999999999997,9.1,4.85,24,8
dictSetVal,17.499999999999996,9.2,4.8999999999999995,24,8
dictSetSignedIntegerVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictSetUnsignedIntegerVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictSetDoubleVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictIncrSignedIntegerVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictIncrUnsignedIntegerVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictIncrDoubleVal,17.499999999999996,9.2,4.8999999999999995,16,8
dictEntryMetadata,17.499999999999996,9.2,4.8999999999999995,8,8
dictGetKey,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetVal,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetSignedIntegerVal,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetUnsignedIntegerVal,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetDoubleVal,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetDoubleValPtr,17.899999999999995,9.399999999999999,4.999999999999999,8,8
dictGetNext,18.299999999999994,9.599999999999998,5.099999999999999,8,8
dictGetNextRef,18.699999999999992,9.799999999999997,5.199999999999998,8,8
dictSetNext,19.09999999999999,9.999999999999996,5.299999999999998,16,8
